timestamp,velocidad,carga,vida_util,humedad,corriente,vibracion,defectos,produccion,energia
2026-06-05 11:12:50,1180.93,83.41,93.14,30.71,22.65,1.62,2,451,19.58
2026-06-05 11:13:50,1563.78,86.9,88.69,38.32,23.48,1.82,2,565,21.5
2026-06-05 11:14:50,1641.69,70.07,52.59,45.63,20.66,4.76,4,525,18.56
2026-06-05 11:15:50,1180.12,92.7,65.36,48.0,23.68,3.8,3,419,20.93
2026-06-05 11:16:50,1676.02,61.77,41.44,38.6,19.89,5.82,5,510,17.44
2026-06-05 11:17:50,1328.22,30.61,88.72,53.62,12.17,2.16,1,386,9.81
2026-06-05 11:18:50,1693.43,54.97,89.4,49.25,19.42,1.62,3,538,16.99
2026-06-05 11:19:50,1670.68,35.65,99.27,35.0,15.99,1.06,1,497,11.89
2026-06-05 11:20:50,1427.4,98.35,59.26,41.17,24.92,4.12,4,494,22.78
2026-06-05 11:21:50,1406.24,51.29,23.09,30.04,17.22,7.27,7,382,14.78
2026-06-05 11:22:50,1748.04,70.13,96.33,53.76,21.84,0.82,0,586,18.25
2026-06-05 11:23:50,1329.02,50.99,81.89,36.43,17.28,2.24,2,423,14.16
2026-06-05 11:24:50,996.44,91.68,46.71,64.14,22.16,5.69,5,364,20.71
2026-06-05 11:25:50,1353.25,56.55,87.59,56.03,18.48,1.53,2,423,14.85
2026-06-05 11:26:50,1110.71,58.65,58.0,45.76,17.48,4.57,5,342,16.17
2026-06-05 11:27:50,1374.18,90.01,67.45,49.0,24.39,3.87,3,471,22.78
2026-06-05 11:28:50,1369.74,97.01,64.47,35.42,24.56,3.85,3,486,21.54
2026-06-05 11:29:50,1640.12,98.76,96.07,44.22,27.26,1.07,2,579,24.46
2026-06-05 11:30:50,1207.81,38.57,33.5,64.0,13.64,6.06,6,346,11.95
2026-06-05 11:31:50,988.87,57.61,86.82,62.37,17.27,2.41,2,345,14.74
2026-06-05 11:32:50,1178.5,31.64,37.18,67.73,12.51,5.66,4,309,10.37
2026-06-05 11:33:50,1476.69,62.31,57.36,48.86,18.19,4.44,5,457,15.4
2026-06-05 11:34:50,1587.52,59.35,36.79,47.56,19.02,5.83,5,471,16.07
2026-06-05 11:35:50,1547.64,81.35,78.38,38.49,23.48,2.93,4,517,20.21
2026-06-05 11:36:50,976.48,46.43,82.76,43.05,14.55,2.22,2,317,12.86
2026-06-05 11:37:50,1125.24,49.21,94.01,35.49,15.04,1.33,2,355,12.59
2026-06-05 11:38:50,1062.57,70.61,78.82,62.79,18.1,2.46,3,388,16.12
2026-06-05 11:39:50,1633.72,59.71,30.12,68.85,19.06,7.02,5,500,15.25
2026-06-05 11:40:50,1036.35,30.65,50.11,34.04,11.33,4.6,5,271,8.53
2026-06-05 11:41:50,1409.69,97.78,73.36,31.94,25.92,3.14,2,532,24.24
2026-06-05 11:42:50,1601.68,78.17,79.78,30.71,22.65,2.17,2,539,20.77
2026-06-05 11:43:50,1738.07,79.09,58.26,65.38,22.61,4.66,4,579,19.15
2026-06-05 11:44:50,1718.08,64.24,75.25,41.48,20.53,3.38,2,539,16.96
2026-06-05 11:45:50,1088.88,47.61,25.96,30.42,15.86,7.08,6,313,12.63
2026-06-05 11:46:50,1611.72,66.06,75.02,68.52,21.28,3.32,3,535,18.85
2026-06-05 11:47:50,1198.49,53.65,61.79,49.83,16.01,4.1,4,360,13.99
